id,selector_a,selector_b,full_name,meta
aa486bb7-853b-4260-b21d-77b4c304aec1,186.35.142.123,327507854734817,Riley Martinez,"{""selector_b_type"":""imei"",""high_hitter_a"":false,""lon"":4.774578,""high_hitter_b"":false,""lat"":-39.797089,""table_name"":""calls""}"
4edab885-c872-4e55-b0c0-7021a98a1bf6,956366954894576,319092305722060,Jamie Williams,"{""source"":""batch_import"",""lat"":-24.372931,""lon"":-120.6243,""selector_b_type"":""imei""}"
154f6e8f-383f-4e35-b17f-132b9fca7691,58.31.99.48,137.57.191.25,Jordan Williams,"{""lat"":27.684077,""other"":""note"",""selector_a_type"":""ip"",""high_hitter_a"":true,""high_hitter_b"":true,""source"":""etl_job""}"
a2f8fd9f-fe5a-485b-943f-60a0d604e91d,144.116.34.143,811100170582605,Casey Johnson,"{""high_hitter_a"":true,""source"":""api"",""selector_b_type"":""imei"",""selector_a_type"":""ip"",""lat"":82.153146}"
484d0b44-ddab-4708-8fd9-28bb59ef8a13,36.145.149.212,021751051710088,Drew Jones,"{""selector_a_type"":""ip"",""other"":""note"",""high_hitter_b"":false,""source"":""batch_import"",""table_name"":""calls"",""selector_b_type"":""imei"",""high_hitter_a"":false}"
c86f77b2-e75f-4f56-a064-c7b1c147fea1,184144177674128,+1-202-367-6103,Quinn Brown,"{""source"":""manual"",""lat"":78.823537,""high_hitter_a"":true,""other"":""note"",""selector_a_type"":""imei"",""lon"":-109.132177,""selector_b_type"":""phone""}"
aff54bff-5806-456f-b591-6a34f16c6e70,197954261846810,712133850707192,Drew Williams,"{""lon"":50.544592,""source"":""api"",""selector_a_type"":""imei"",""selector_b_type"":""imei"",""lat"":56.915045,""table_name"":""sessions"",""other"":""misc"",""high_hitter_a"":false,""high_hitter_b"":false}"
e1fec081-1d15-43a9-890a-5815fdb1d20f,+1-202-243-6863,142040799780386,Morgan Williams,"{""selector_b_type"":""imei"",""high_hitter_b"":true,""table_name"":""devices"",""other"":599}"
3fec07bc-deaa-4030-8398-0303a7650dc2,64.7.151.122,464363655230657,Jamie Smith,"{""other"":""note"",""high_hitter_b"":false,""selector_b_type"":""imei"",""lat"":-9.177769}"
c3098e0e-c7c0-4f36-93ce-76adf425fedd,078806523847270,228.51.95.44,Morgan Davis,"{""lat"":54.860189,""selector_b_type"":""ip"",""table_name"":""devices"",""source"":""api"",""other"":""note"",""lon"":140.526834,""selector_a_type"":""imei"",""high_hitter_b"":true,""high_hitter_a"":true}"
db8debef-00f7-43bb-a938-f75affb42457,+1-718-895-4382,+1-202-714-8015,Morgan Jones,"{""high_hitter_b"":false,""high_hitter_a"":true,""source"":""etl_job"",""table_name"":""events"",""selector_b_type"":""phone"",""selector_a_type"":""phone"",""lat"":14.076543}"
8a835ea5-3848-4151-9214-3082fe0713d3,140.172.109.136,901335520216774,Jordan Martinez,"{""lat"":87.3346,""table_name"":""sessions"",""other"":181,""source"":""etl_job""}"
2c7e0406-76a4-494e-9348-82b111653a1b,74.12.168.1,891817046291938,Jordan Smith,"{""other"":837,""selector_b_type"":""imei"",""source"":""manual"",""lat"":73.536278,""high_hitter_b"":true,""selector_a_type"":""ip"",""high_hitter_a"":true}"
5dad74a8-e8a2-43e0-b1a8-d2670d6a5028,95.96.60.73,+1-212-882-8991,Morgan Miller,"{""source"":""manual"",""table_name"":""events"",""lat"":-40.7053,""other"":422,""lon"":-105.70465,""high_hitter_a"":false}"
55c9981d-4868-4c0b-9dd6-fd4e320078c0,987806545970735,+1-310-888-2970,Alex Johnson,"{""high_hitter_b"":true,""source"":""manual"",""selector_b_type"":""phone"",""lat"":26.408652,""high_hitter_a"":true,""other"":756,""table_name"":""events"",""lon"":144.31892,""selector_a_type"":""imei""}"
18c8836b-d8e1-43aa-a1ad-43f0e819f92d,577004557242852,+1-646-303-4298,Riley Martinez,"{""table_name"":""sessions"",""high_hitter_b"":true,""lat"":-23.827417,""other"":""tag"",""selector_b_type"":""phone"",""lon"":68.059423,""source"":""manual"",""selector_a_type"":""imei""}"
533f6caa-2a7a-4fee-a7c5-8027c49072ac,200.124.75.178,452104639902874,Jamie Garcia,"{""table_name"":""sessions"",""high_hitter_a"":false,""lat"":-59.093619,""selector_a_type"":""ip"",""lon"":64.471618}"
d7132780-92f3-4c4c-b6e0-0a6fc2662e02,+1-646-921-4993,+1-310-524-1075,Jordan Smith,"{""selector_b_type"":""phone"",""lon"":-12.838193,""selector_a_type"":""phone"",""table_name"":""events"",""lat"":65.257883,""source"":""manual"",""other"":""note"",""high_hitter_a"":true,""high_hitter_b"":true}"
154754aa-ae8f-46bd-926e-817c3c18e7a3,218.90.88.232,192.190.225.43,Alex Martinez,"{""lat"":55.49476,""high_hitter_a"":false,""lon"":-81.012131,""table_name"":""events""}"
9627baba-2bd2-4628-bb34-b1417d923dfb,+1-415-488-3648,228.50.59.38,Jordan Davis,"{""table_name"":""events"",""selector_a_type"":""phone"",""other"":""misc"",""lon"":-139.261254,""high_hitter_a"":false,""selector_b_type"":""ip"",""high_hitter_b"":true,""source"":""batch_import""}"
61084a66-8206-472b-aff0-efa256e5fea0,155.182.146.132,+1-718-731-9024,Taylor Lopez,"{""selector_a_type"":""ip"",""lat"":81.515601,""selector_b_type"":""phone"",""high_hitter_b"":false,""other"":""note""}"
20b07516-56c4-4a2c-a45e-1a14c508e010,213.8.75.194,+1-310-684-1170,Drew Brown,"{""selector_b_type"":""phone"",""lon"":101.747276,""lat"":51.431677,""source"":""etl_job"",""table_name"":""calls"",""high_hitter_b"":true,""selector_a_type"":""ip"",""other"":""misc"",""high_hitter_a"":true}"
d7baca40-ff5f-411e-85e0-9a5c4a3104d7,515792068849933,788744283972202,Avery Brown,"{""other"":""misc"",""source"":""manual"",""lat"":73.889271,""selector_a_type"":""imei"",""high_hitter_b"":true,""selector_b_type"":""imei"",""lon"":121.890691}"
80182fc2-964e-48b9-9573-992f6bbec7f8,358745580063247,951561426147096,Alex Davis,"{""high_hitter_b"":false,""high_hitter_a"":false,""selector_a_type"":""imei"",""lon"":-75.252266,""selector_b_type"":""imei"",""table_name"":""sessions"",""other"":""tag""}"
c62d0b10-c3dc-4bbe-b32c-4fa4a3f80c6a,901962741745642,+1-212-526-2606,Avery Smith,"{""high_hitter_b"":true,""lon"":83.609818,""other"":180,""table_name"":""events"",""high_hitter_a"":false,""source"":""api""}"
86957b90-66c2-4724-94da-31b92b131877,915148788742184,132.36.45.13,Riley Lopez,"{""selector_a_type"":""imei"",""lat"":-2.966908,""selector_b_type"":""ip"",""table_name"":""calls""}"
a3c9ac55-f08d-49cc-807c-18ae2a089375,+1-305-492-3259,+1-305-361-6632,Avery Martinez,"{""other"":""note"",""high_hitter_a"":true,""source"":""batch_import"",""lat"":74.253201,""lon"":-170.55961,""selector_b_type"":""phone"",""table_name"":""sessions"",""selector_a_type"":""phone"",""high_hitter_b"":false}"
009294f8-f7f0-468e-ad3f-14f8bc94ea1e,+1-202-469-3493,+1-415-399-7863,Morgan Martinez,"{""high_hitter_a"":true,""lon"":80.128989,""table_name"":""devices"",""other"":""misc""}"
